,kic_primary,gaia_id_primary,gaia_id_match,chisq,dec_match_gaia,dec_match_keptime,ra_match_gaia,ra_match_keptime
85,2307199,2.05E+18,2.05E+18,14.5409565,37.60023831,37.60024459,292.3819387,292.3819421
86,2307199,2.05E+18,2.05E+18,20.44545364,37.65622898,37.65625423,292.3599402,292.359957
87,2307199,2.05E+18,2.05E+18,10.53263664,37.61066654,37.61068701,292.3435807,292.3435922
88,2307199,2.05E+18,2.05E+18,22.59560013,37.62922372,37.62923326,292.3701747,292.3701821
89,2307199,2.05E+18,2.05E+18,9.831143379,37.64174302,37.64170356,292.3734535,292.3734608
90,2307199,2.05E+18,2.05E+18,21.73973274,37.63967821,37.63968651,292.3421917,292.3422097
91,2307199,2.05E+18,2.05E+18,5.827178478,37.65415486,37.65415654,292.381388,292.3814098
92,2307199,2.05E+18,2.05E+18,9.164405823,37.64220439,37.64221328,292.403879,292.4038933
93,2307199,2.05E+18,2.05E+18,28.44509506,37.60477335,37.604788,292.3753268,292.3753478
94,2307199,2.05E+18,2.05E+18,4.076986313,37.60870443,37.60871596,292.3748307,292.3748336
95,2307199,2.05E+18,2.05E+18,19.77714348,37.64425942,37.64427333,292.4129246,292.4129218
96,2307199,2.05E+18,2.05E+18,17.7862339,37.61886673,37.61889893,292.3837427,292.3837457
97,2307199,2.05E+18,2.05E+18,9.761153221,37.63896418,37.638974,292.3905156,292.3905224
98,2307199,2.05E+18,2.05E+18,0.841035366,37.61208248,37.61208547,292.4026398,292.402647
99,2307199,2.05E+18,2.05E+18,11.12770557,37.61344934,37.6134632,292.350056,292.3500622
100,2307199,2.05E+18,2.05E+18,11.19229507,37.62691322,37.62692993,292.3399086,292.3399229
101,2307199,2.05E+18,2.05E+18,8.678274155,37.64432149,37.64431611,292.3598181,292.3598326
102,2307199,2.05E+18,2.05E+18,46.70695496,37.63895108,37.63895521,292.361185,292.3611889
103,2307199,2.05E+18,2.05E+18,10.10854053,37.65781248,37.65782158,292.354595,292.3545994
104,2307199,2.05E+18,2.05E+18,12.06990242,37.60702402,37.6070321,292.3632366,292.3632385
105,2307199,2.05E+18,2.05E+18,9.790449142,37.624854,37.62486841,292.4011192,292.4011309
106,2307199,2.05E+18,2.05E+18,9.747607231,37.62865376,37.62866045,292.3929305,292.3929467
107,2307199,2.05E+18,2.05E+18,21.93907928,37.63650273,37.63652623,292.3749583,292.3749648
108,2307199,2.05E+18,2.05E+18,8.285960197,37.64664033,37.64664594,292.3648366,292.3648535
109,2307199,2.05E+18,2.05E+18,12.49790192,37.63772714,37.63773818,292.3689243,292.3689271
110,2307199,2.05E+18,2.05E+18,21.5646286,37.65737673,37.65737402,292.3786648,292.3786609
111,3115833,2.05E+18,2.05E+18,23.10176086,38.2554553,38.25550078,291.3188933,291.3189123
112,3115833,2.05E+18,2.05E+18,25.0222168,38.21352463,38.21354318,291.2956159,291.2956221
113,3115833,2.05E+18,2.05E+18,7.513097286,38.24353394,38.24355035,291.2578804,291.2579202
114,3115833,2.05E+18,2.05E+18,20.54201126,38.23746253,38.23749029,291.3022151,291.3022443
115,3115833,2.05E+18,2.05E+18,15.31561661,38.26181827,38.26183121,291.2774272,291.2774198
116,3115833,2.05E+18,2.05E+18,23.15392494,38.2424528,38.24247395,291.3005435,291.3005493
117,3115833,2.05E+18,2.05E+18,20.76138878,38.22797563,38.22796395,291.2697104,291.2697135
118,3115833,2.05E+18,2.05E+18,1.037948728,38.22969801,38.22973035,291.2455253,291.2455348
119,3115833,2.05E+18,2.05E+18,14.41165352,38.26668993,38.26671428,291.302461,291.3024895
120,3115833,2.05E+18,2.05E+18,11.63701534,38.24614275,38.2461489,291.2894543,291.2894466
121,3115833,2.05E+18,2.05E+18,54.00774765,38.24018488,38.2401983,291.2965257,291.296535
122,3115833,2.05E+18,2.05E+18,2.361872673,38.2270153,38.22704826,291.2548348,291.2548571
123,3115833,2.05E+18,2.05E+18,8.43237114,38.23734877,38.23737439,291.3097633,291.309784
124,3115833,2.05E+18,2.05E+18,40.81446838,38.2086623,38.20867915,291.2771706,291.2771788
125,3115833,2.05E+18,2.05E+18,28.8937149,38.23758568,38.23764191,291.3196384,291.3197083
126,3115833,2.05E+18,2.05E+18,1.109871626,38.22237827,38.2224088,291.3101581,291.3101762
127,3115833,2.05E+18,2.05E+18,44.49371338,38.21637546,38.21638582,291.2594756,291.2594809
128,3115833,2.05E+18,2.05E+18,17.61361694,38.24436256,38.24439558,291.278707,291.2787131
129,3115833,2.05E+18,2.05E+18,4.409333229,38.21227397,38.21229077,291.278608,291.2786358
130,3115833,2.05E+18,2.05E+18,11.13853645,38.25763102,38.25765223,291.2816945,291.2817104
131,3115833,2.05E+18,2.05E+18,57.90487671,38.21433472,38.21435359,291.2976431,291.2976575
132,3115833,2.05E+18,2.05E+18,8.22166729,38.25375028,38.25377917,291.2606906,291.2607063
